listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
18212326,2025-05-01,31,0,0.0,0.0,105.6,,,,2,,100083.0,0.0
18212326,2025-06-01,30,0,0.0,0.0,103.5,,,,2,,96707.0,0.0
18212326,2025-07-01,31,0,0.0,0.0,101.2,,,,2,,94558.0,0.0
18212326,2025-08-01,31,0,0.0,0.0,103.9,,,,2,,97081.0,0.0
18212326,2025-09-01,30,0,0.0,0.0,104.3,,,,2,,97454.0,0.0
18212326,2025-10-01,31,0,0.0,0.0,103.3,,,,2,,96520.0,0.0
18212326,2025-11-01,30,0,0.0,0.0,103.0,,,,2,,96240.0,0.0
18212326,2025-12-01,31,0,0.0,0.0,104.3,,,,2,,97454.0,0.0
18212326,2026-01-01,6,25,0.806,2821.0,113.4,112.8,23,5,1,105397.0,105957.0,2635850.0
18212326,2026-02-01,18,10,0.357,1204.0,119.8,120.4,,,2,112498.0,111937.0,1124978.0
18212326,2026-03-01,31,0,0.0,0.0,117.0,,,,2,,109321.0,0.0
18212326,2026-04-01,30,0,0.0,0.0,128.5,,,,2,,120066.0,0.0
11782760,2025-05-01,31,0,0.0,0.0,55.0,,,,5,,52127.0,0.0
11782760,2025-06-01,20,10,0.333,616.0,58.8,61.6,37,10,5,57557.0,54941.0,575570.0
11782760,2025-07-01,31,0,0.0,0.0,60.2,,,,5,,56249.0,0.0
11782760,2025-08-01,31,0,0.0,0.0,58.0,,,,5,,54193.0,0.0
11782760,2025-09-01,30,0,0.0,0.0,57.5,,,,5,,53726.0,0.0
11782760,2025-10-01,31,0,0.0,0.0,55.0,,,,5,,51390.0,0.0
11782760,2025-11-01,30,0,0.0,0.0,55.4,,,,5,,51764.0,0.0
11782760,2025-12-01,30,1,0.032,50.0,53.4,50.0,29,1,5,46718.0,49895.0,46718.0
11782760,2026-01-01,31,0,0.0,0.0,67.9,,,,5,,63444.0,0.0
11782760,2026-02-01,22,6,0.214,458.0,74.4,76.3,47,6,5,71292.0,69517.0,427940.0
11782760,2026-03-01,30,1,0.032,57.0,60.1,57.0,4,1,5,53259.0,56155.0,53259.0
11782760,2026-04-01,30,0,0.0,0.0,62.3,,,,5,,58211.0,0.0
14871730,2025-05-01,31,0,0.0,0.0,42.5,,,,2,,40280.0,0.0
14871730,2025-06-01,30,0,0.0,0.0,45.9,,,,2,,42887.0,0.0
14871730,2025-07-01,31,0,0.0,0.0,43.8,,,,2,,40925.0,0.0
14871730,2025-08-01,31,0,0.0,0.0,45.2,,,,2,,42233.0,0.0
14871730,2025-09-01,30,0,0.0,0.0,42.2,,,,2,,39430.0,0.0
14871730,2025-10-01,31,0,0.0,0.0,42.5,,,,2,,39711.0,0.0
14871730,2025-11-01,30,0,0.0,0.0,43.7,,,,2,,40832.0,0.0
14871730,2025-12-01,29,2,0.065,92.0,43.5,46.0,57,2,2,42981.0,40645.0,85962.0
14871730,2026-01-01,24,7,0.226,304.0,43.4,43.4,2,7,2,40552.0,40552.0,284048.0
14871730,2026-02-01,14,14,0.5,611.0,43.9,43.6,4,3,2,40738.0,41019.0,570898.0
14871730,2026-03-01,31,0,0.0,0.0,46.7,,,,2,,43635.0,0.0
14871730,2026-04-01,30,0,0.0,0.0,48.8,,,,2,,45597.0,0.0
30852589,2025-05-01,31,0,0.0,0.0,26.6,,,,120,,25210.0,0.0
30852589,2025-06-01,30,0,0.0,0.0,29.7,,,,120,,27751.0,0.0
30852589,2025-07-01,31,0,0.0,0.0,33.1,,,,120,,30928.0,0.0
30852589,2025-08-01,31,0,0.0,0.0,32.2,,,,120,,30087.0,0.0
30852589,2025-09-01,30,0,0.0,0.0,52.1,,,,120,,48681.0,0.0
30852589,2025-10-01,31,0,0.0,0.0,56.9,,,,120,,53165.0,0.0
30852589,2025-11-01,30,0,0.0,0.0,60.1,,,,120,,56155.0,0.0
30852589,2025-12-01,31,0,0.0,0.0,89.0,,,,8,,83159.0,0.0
30852589,2026-01-01,14,17,0.548,1570.0,93.5,92.4,13,17,7,86336.0,87363.0,1466956.0
30852589,2026-02-01,8,20,0.714,1770.0,88.5,88.5,18,6,7,82691.0,82691.0,1653830.0
30852589,2026-03-01,31,0,0.0,0.0,91.6,,,,7,,85588.0,0.0
30852589,2026-04-01,30,0,0.0,0.0,99.4,,,,7,,92876.0,0.0
20830872,2025-05-01,31,0,0.0,0.0,38.7,,,,2,,36678.0,0.0
20830872,2025-06-01,30,0,0.0,0.0,36.7,,,,2,,34291.0,0.0
20830872,2025-07-01,30,1,0.032,34.0,39.1,34.0,1,1,2,31768.0,36534.0,31768.0
20830872,2025-08-01,23,8,0.258,338.0,41.7,42.2,34,4,2,39430.0,38963.0,315816.0
20830872,2025-09-01,30,0,0.0,0.0,47.4,,,,2,,44289.0,0.0
20830872,2025-10-01,31,0,0.0,0.0,51.2,,,,2,,47840.0,0.0
20830872,2025-11-01,27,3,0.1,165.0,52.1,55.0,95,3,2,51390.0,48681.0,154171.0
20830872,2025-12-01,21,10,0.323,574.0,54.1,57.4,63,5,2,53633.0,50549.0,536327.0
20830872,2026-01-01,28,3,0.097,168.0,53.1,56.0,4,3,2,52325.0,49615.0,156974.0
20830872,2026-02-01,19,9,0.321,546.0,58.4,60.7,67,9,2,56716.0,54567.0,510164.0
20830872,2026-03-01,31,0,0.0,0.0,47.7,,,,2,,44569.0,0.0
20830872,2026-04-01,30,0,0.0,0.0,41.5,,,,2,,38776.0,0.0
10400866,2025-05-01,31,0,0.0,0.0,64.7,,,,6,,61320.0,0.0
10400866,2025-06-01,30,0,0.0,0.0,64.8,,,,6,,60547.0,0.0
10400866,2025-07-01,31,0,0.0,0.0,64.6,,,,6,,60360.0,0.0
