listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
23629343,2025-05-01,31,0,0.0,0.0,53.6,,,,2,,50800.0,0.0
23629343,2025-06-01,1,29,0.967,1646.0,56.7,56.8,1,29,2,53072.0,52979.0,1537968.0
23629343,2025-07-01,31,0,0.0,0.0,58.5,,,,2,,54660.0,0.0
23629343,2025-08-01,31,0,0.0,0.0,59.0,,,,2,,55128.0,0.0
23629343,2025-09-01,30,0,0.0,0.0,57.7,,,,2,,53913.0,0.0
23629343,2025-10-01,31,0,0.0,0.0,59.8,,,,2,,55875.0,0.0
23629343,2025-11-01,30,0,0.0,0.0,59.3,,,,2,,55408.0,0.0
23629343,2025-12-01,30,1,0.032,55.0,53.7,55.0,2,1,2,51390.0,50176.0,51390.0
23629343,2026-01-01,31,0,0.0,0.0,57.0,,,,2,,53259.0,0.0
23629343,2026-02-01,23,5,0.179,308.0,63.4,61.6,141,2,2,57557.0,59239.0,287785.0
23629343,2026-03-01,21,10,0.323,387.0,45.8,38.7,127,10,2,36160.0,42794.0,361600.0
23629343,2026-04-01,30,0,0.0,0.0,34.8,,,,2,,32516.0,0.0
28760867,2025-05-01,31,0,0.0,0.0,161.4,,,,3,,152968.0,0.0
28760867,2025-06-01,19,11,0.367,1773.0,159.7,161.2,10,11,3,150620.0,149218.0,1656633.0
28760867,2025-07-01,31,0,0.0,0.0,155.9,,,,3,,145668.0,0.0
28760867,2025-08-01,23,8,0.258,1253.0,159.3,156.6,7,8,3,146322.0,148845.0,1170762.0
28760867,2025-09-01,26,4,0.133,629.0,161.7,157.2,17,4,3,146883.0,151087.0,587717.0
28760867,2025-10-01,31,0,0.0,0.0,156.2,,,,3,,145948.0,0.0
28760867,2025-11-01,30,0,0.0,0.0,154.4,,,,3,,144266.0,0.0
28760867,2025-12-01,26,5,0.161,971.0,174.4,194.2,209,23,3,181454.0,162954.0,907271.0
28760867,2026-01-01,2,29,0.935,5717.0,197.1,197.1,99,5,3,184164.0,184164.0,5341777.0
28760867,2026-02-01,17,11,0.393,2213.0,200.5,201.2,165,5,3,187995.0,187341.0,2067755.0
28760867,2026-03-01,31,0,0.0,0.0,177.8,,,,3,,166130.0,0.0
28760867,2026-04-01,30,0,0.0,0.0,184.2,,,,3,,172110.0,0.0
31375214,2025-05-01,31,0,0.0,0.0,144.5,,,,5,,136951.0,0.0
31375214,2025-06-01,30,0,0.0,0.0,146.0,,,,5,,136418.0,0.0
31375214,2025-07-01,31,0,0.0,0.0,141.2,,,,5,,131933.0,0.0
31375214,2025-08-01,31,0,0.0,0.0,144.5,,,,5,,135016.0,0.0
31375214,2025-09-01,30,0,0.0,0.0,151.6,,,,9,,141650.0,0.0
31375214,2025-10-01,31,0,0.0,0.0,150.6,,,,10,,140716.0,0.0
31375214,2025-11-01,30,0,0.0,0.0,140.7,,,,5,,131465.0,0.0
31375214,2025-12-01,29,2,0.065,276.0,142.2,138.0,1,4,5,128943.0,132867.0,257885.0
31375214,2026-01-01,11,20,0.645,2898.0,143.8,144.9,14,9,5,135390.0,134362.0,2707796.0
31375214,2026-02-01,14,14,0.5,2130.0,150.1,152.1,62,4,4,142117.0,140249.0,1990202.0
31375214,2026-03-01,31,0,0.0,0.0,159.1,,,,5,,148658.0,0.0
31375214,2026-04-01,30,0,0.0,0.0,166.0,,,,10,,155105.0,0.0
28858046,2025-05-01,31,0,0.0,0.0,111.5,,,,2,,105675.0,0.0
28858046,2025-06-01,30,0,0.0,0.0,122.5,,,,2,,114460.0,0.0
28858046,2025-07-01,31,0,0.0,0.0,106.6,,,,2,,99604.0,0.0
28858046,2025-08-01,31,0,0.0,0.0,123.6,,,,2,,115488.0,0.0
28858046,2025-09-01,30,0,0.0,0.0,114.8,,,,2,,107265.0,0.0
28858046,2025-10-01,28,3,0.097,293.0,112.6,97.7,5,3,2,91288.0,105210.0,273770.0
28858046,2025-11-01,30,0,0.0,0.0,103.1,,,,2,,96333.0,0.0
28858046,2025-12-01,26,5,0.161,519.0,100.1,103.8,43,7,2,96987.0,93530.0,484937.0
28858046,2026-01-01,10,21,0.677,2118.0,102.1,100.9,5,3,2,94278.0,95399.0,1978990.0
28858046,2026-02-01,15,13,0.464,1388.0,105.8,106.8,18,3,2,99790.0,98856.0,1296902.0
28858046,2026-03-01,31,0,0.0,0.0,105.9,,,,2,,98949.0,0.0
28858046,2026-04-01,30,0,0.0,0.0,82.1,,,,2,,76712.0,0.0
10020453,2025-05-01,31,0,0.0,0.0,134.5,,,,2,,127474.0,0.0
10020453,2025-06-01,30,0,0.0,0.0,132.3,,,,2,,123617.0,0.0
10020453,2025-07-01,31,0,0.0,0.0,135.0,,,,2,,126140.0,0.0
10020453,2025-08-01,31,0,0.0,0.0,131.2,,,,2,,122589.0,0.0
10020453,2025-09-01,29,1,0.033,128.0,125.7,128.0,1,1,2,119599.0,117450.0,119599.0
10020453,2025-10-01,30,1,0.032,128.0,129.3,128.0,1,1,2,119599.0,120814.0,119599.0
