listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
17900994,2025-05-01,27,4,0.129,264.0,66.8,66.0,,,3,62552.0,63310.0,250209.0
17900994,2025-06-01,9,21,0.7,1495.0,70.3,71.2,4,4,3,66527.0,65686.0,1396879.0
17900994,2025-07-01,5,26,0.839,1783.0,68.6,68.6,100,4,3,64098.0,64098.0,1665977.0
17900994,2025-08-01,7,24,0.774,1628.0,67.2,67.8,58,6,3,63350.0,62789.0,1521150.0
17900994,2025-09-01,28,2,0.067,125.0,65.2,62.5,29,2,3,58398.0,60921.0,116796.0
17900994,2025-10-01,25,6,0.194,385.0,65.7,64.2,19,6,3,59986.0,61388.0,359731.0
17900994,2025-11-01,30,0,0.0,0.0,63.5,,,,3,,59332.0,0.0
17900994,2025-12-01,21,10,0.323,638.0,64.9,63.8,34,7,3,59613.0,60640.0,596126.0
17900994,2026-01-01,16,15,0.484,929.0,60.3,61.9,28,7,3,57837.0,56342.0,868027.0
17900994,2026-02-01,14,14,0.5,812.0,56.5,58.0,16,3,3,54193.0,52792.0,758706.0
17900994,2026-03-01,21,10,0.323,660.0,67.5,66.0,13,7,3,61668.0,63070.0,616682.0
17900994,2026-04-01,30,0,0.0,0.0,73.9,,,,3,,69050.0,0.0
6025720,2025-05-01,18,13,0.419,2540.0,187.2,195.4,1,10,6,185192.0,177421.0,2407310.0
6025720,2025-06-01,26,4,0.133,736.0,190.7,184.0,7,48,6,171924.0,178184.0,687694.0
6025720,2025-07-01,0,31,1.0,5947.0,191.8,191.8,,,6,179212.0,179212.0,5556681.0
6025720,2025-08-01,11,20,0.645,3882.0,193.1,194.1,65,6,6,181361.0,180426.0,3627213.0
6025720,2025-09-01,25,5,0.167,927.0,191.8,185.4,,,6,173232.0,179212.0,866158.0
6025720,2025-10-01,31,0,0.0,0.0,195.1,,,,6,,182295.0,0.0
6025720,2025-11-01,30,0,0.0,0.0,196.9,,,,6,,183977.0,0.0
6025720,2025-12-01,31,0,0.0,0.0,195.8,,,,6,,182949.0,0.0
6025720,2026-01-01,28,3,0.097,510.0,170.5,170.0,1,3,6,158842.0,159310.0,476527.0
6025720,2026-02-01,28,0,0.0,0.0,167.3,,,,6,,156320.0,0.0
6025720,2026-03-01,22,9,0.29,1602.0,178.0,178.0,39,4,6,166317.0,166317.0,1496856.0
6025720,2026-04-01,30,0,0.0,0.0,180.8,,,,6,,168934.0,0.0
14716956,2025-05-01,14,17,0.548,598.0,34.9,35.2,57,5,3,33361.0,33077.0,566760.0
14716956,2025-06-01,0,30,1.0,1051.0,35.0,35.0,52,4,3,32703.0,32703.0,982020.0
14716956,2025-07-01,4,27,0.871,977.0,36.1,36.2,89,5,3,33824.0,33731.0,912877.0
14716956,2025-08-01,3,28,0.903,1028.0,37.0,36.7,110,5,3,34291.0,34572.0,960529.0
14716956,2025-09-01,7,23,0.767,816.0,35.6,35.5,52,5,3,33170.0,33263.0,762444.0
14716956,2025-10-01,5,26,0.839,915.0,34.8,35.2,54,5,3,32890.0,32516.0,854946.0
14716956,2025-11-01,3,27,0.9,838.0,31.2,31.0,36,3,3,28965.0,29152.0,783000.0
14716956,2025-12-01,6,25,0.806,732.0,29.1,29.3,46,3,2,27377.0,27190.0,683957.0
14716956,2026-01-01,6,25,0.806,704.0,28.1,28.2,74,3,3,26349.0,26256.0,657794.0
14716956,2026-02-01,6,22,0.786,615.0,28.2,28.0,52,3,3,26162.0,26349.0,574636.0
14716956,2026-03-01,8,23,0.742,674.0,29.1,29.3,46,3,3,27377.0,27190.0,629763.0
14716956,2026-04-01,8,22,0.733,631.0,28.8,28.7,50,3,3,26816.0,26910.0,589586.0
5672884,2025-05-01,7,24,0.774,759.0,31.6,31.6,16,28,1,29949.0,29949.0,719350.0
5672884,2025-06-01,3,27,0.9,943.0,34.7,34.9,45,29,1,32609.0,32423.0,881108.0
5672884,2025-07-01,2,29,0.935,986.0,33.9,34.0,5,23,1,31768.0,31675.0,921286.0
5672884,2025-08-01,13,18,0.581,586.0,33.7,32.6,19,9,1,30460.0,31488.0,547539.0
5672884,2025-09-01,30,0,0.0,0.0,33.4,,,,1,,31208.0,0.0
5672884,2025-10-01,31,0,0.0,0.0,33.7,,,,1,,31488.0,0.0
5672884,2025-11-01,30,0,0.0,0.0,36.1,,,,1,,33731.0,0.0
5672884,2025-12-01,31,0,0.0,0.0,36.3,,,,1,,33918.0,0.0
5672884,2026-01-01,13,18,0.581,588.0,32.0,32.7,166,31,1,30554.0,29900.0,549408.0
5672884,2026-02-01,15,13,0.464,468.0,32.1,36.0,,,1,33637.0,29993.0,437284.0
5672884,2026-03-01,6,25,0.806,724.0,28.9,29.0,19,25,1,27097.0,27003.0,676482.0
5672884,2026-04-01,30,0,0.0,0.0,33.1,,,,1,,30928.0,0.0
15523155,2025-05-01,14,17,0.548,580.0,36.1,34.1,1,8,2,32319.0,34214.0,549701.0
15523155,2025-06-01,14,16,0.533,630.0,40.4,39.4,1,3,2,36814.0,37748.0,588651.0
15523155,2025-07-01,29,2,0.065,80.0,43.2,40.0,,,2,37375.0,40365.0,74749.0
15523155,2025-08-01,20,11,0.355,480.0,45.2,43.6,2,5,2,40738.0,42233.0,448496.0
15523155,2025-09-01,19,11,0.367,425.0,38.6,38.6,16,2,2,36067.0,36067.0,397106.0
15523155,2025-10-01,14,17,0.548,670.0,39.1,39.4,2,4,2,36814.0,36534.0,626026.0
15523155,2025-11-01,19,11,0.367,467.0,41.1,42.5,1,2,2,39711.0,38402.0,436349.0
15523155,2025-12-01,20,11,0.355,390.0,36.6,35.5,1,2,2,33170.0,34198.0,364403.0
15523155,2026-01-01,15,16,0.516,487.0,32.4,30.4,7,4,2,28405.0,30273.0,455037.0
15523155,2026-02-01,19,9,0.321,310.0,34.4,34.4,1,1,2,32142.0,32142.0,289654.0
15523155,2026-03-01,25,6,0.194,281.0,44.7,46.8,1,1,2,43728.0,41766.0,262557.0
15523155,2026-04-01,27,3,0.1,123.0,44.1,41.0,1,3,2,38309.0,41206.0,114927.0
1538606,2025-05-01,23,8,0.258,602.0,74.5,75.2,,,3,71272.0,70608.0,570552.0
1538606,2025-06-01,30,0,0.0,0.0,68.7,,,,3,,64191.0,0.0
1538606,2025-07-01,31,0,0.0,0.0,72.2,,,,3,,67461.0,0.0
1538606,2025-08-01,31,0,0.0,0.0,70.5,,,,3,,65873.0,0.0
1538606,2025-09-01,30,0,0.0,0.0,80.1,,,,3,,74843.0,0.0
1538606,2025-10-01,31,0,0.0,0.0,75.2,,,,3,,70264.0,0.0
1538606,2025-11-01,10,20,0.667,1445.0,72.1,72.2,66,20,3,67461.0,67368.0,1350161.0
1538606,2025-12-01,8,23,0.742,1602.0,69.7,69.7,13,11,3,65125.0,65125.0,1496856.0
1538606,2026-01-01,31,0,0.0,0.0,70.3,,,,3,,65686.0,0.0
1538606,2026-02-01,14,14,0.5,1006.0,70.8,71.9,3,4,3,67181.0,66153.0,939973.0
1538606,2026-03-01,30,1,0.032,69.0,70.5,69.0,51,1,3,64471.0,65873.0,64471.0
1538606,2026-04-01,30,0,0.0,0.0,68.2,,,,3,,63724.0,0.0
