listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
16705789,2025-05-01,27,4,0.129,129.0,31.5,32.2,8,2,2,30518.0,29854.0,122261.0
16705789,2025-06-01,25,5,0.167,159.0,31.6,31.8,14,2,2,29713.0,29526.0,148564.0
16705789,2025-07-01,24,7,0.226,239.0,32.9,34.1,26,1,1,31862.0,30741.0,223314.0
16705789,2025-08-01,27,4,0.129,119.0,30.2,29.8,5,1,1,27844.0,28218.0,111190.0
16705789,2025-09-01,12,18,0.6,502.0,28.6,27.9,18,5,1,26069.0,26723.0,469052.0
16705789,2025-10-01,8,23,0.742,693.0,30.5,30.1,25,2,1,28124.0,28498.0,647516.0
16705789,2025-11-01,17,13,0.433,383.0,29.3,29.5,16,1,1,27564.0,27377.0,357863.0
16705789,2025-12-01,15,16,0.516,531.0,32.5,33.2,12,8,1,31021.0,30367.0,496149.0
16705789,2026-01-01,11,20,0.645,713.0,35.9,35.6,2,1,1,33263.0,33544.0,666204.0
16705789,2026-02-01,11,17,0.607,631.0,36.7,37.1,4,2,1,34665.0,34291.0,589586.0
16705789,2026-03-01,23,8,0.258,305.0,38.5,38.1,1,2,2,35599.0,35973.0,284982.0
16705789,2026-04-01,25,5,0.167,163.0,31.2,32.6,31,2,1,30460.0,29152.0,152302.0
20482941,2025-05-01,0,31,1.0,1150.0,37.1,37.1,,,,35162.0,35162.0,1089924.0
20482941,2025-06-01,0,30,1.0,1065.0,35.5,35.5,1,21,,33170.0,33170.0,995101.0
20482941,2025-07-01,23,8,0.258,296.0,34.6,37.0,,,3,34572.0,32329.0,276573.0
20482941,2025-08-01,31,0,0.0,0.0,35.4,,,,3,,33077.0,0.0
20482941,2025-09-01,30,0,0.0,0.0,35.4,,,,3,,33077.0,0.0
20482941,2025-10-01,31,0,0.0,0.0,37.2,,,,3,,34758.0,0.0
20482941,2025-11-01,30,0,0.0,0.0,39.0,,,,3,,36440.0,0.0
20482941,2025-12-01,31,0,0.0,0.0,56.9,,,,3,,53165.0,0.0
20482941,2026-01-01,16,15,0.484,950.0,62.8,63.3,4,7,3,59145.0,58678.0,887649.0
20482941,2026-02-01,3,25,0.893,1556.0,62.4,62.2,19,12,3,58118.0,58305.0,1453875.0
20482941,2026-03-01,3,28,0.903,1395.0,49.7,49.8,34,10,3,46531.0,46438.0,1303442.0
20482941,2026-04-01,19,11,0.367,573.0,53.0,52.1,25,4,3,48681.0,49521.0,535392.0
14899364,2025-05-01,29,2,0.065,695.0,321.0,347.5,1,1,2,329347.0,304231.0,658693.0
14899364,2025-06-01,29,1,0.033,347.0,306.1,347.0,1,1,2,324225.0,286010.0,324225.0
14899364,2025-07-01,30,1,0.032,324.0,299.6,324.0,1,1,2,302735.0,279936.0,302735.0
14899364,2025-08-01,30,1,0.032,320.0,283.6,320.0,1,1,9,298997.0,264987.0,298997.0
14899364,2025-09-01,30,0,0.0,0.0,283.4,,,,10,,264800.0,0.0
14899364,2025-10-01,29,2,0.065,593.0,315.9,296.5,1,1,10,277040.0,295167.0,554080.0
14899364,2025-11-01,29,1,0.033,269.0,285.3,269.0,1,1,10,251345.0,266575.0,251345.0
14899364,2025-12-01,30,1,0.032,480.0,317.8,480.0,1,1,9,448496.0,296942.0,448496.0
14899364,2026-01-01,28,3,0.097,956.0,328.3,318.7,1,10,7,297783.0,306753.0,893255.0
14899364,2026-02-01,21,7,0.25,2326.0,345.9,332.3,,,7,310490.0,323198.0,2173338.0
14899364,2026-03-01,30,1,0.032,356.0,353.2,356.0,1,1,7,332635.0,330018.0,332635.0
14899364,2026-04-01,30,0,0.0,0.0,359.6,,,,7,,335998.0,0.0
10644425,2025-05-01,31,0,0.0,0.0,94.7,,,,5,,89753.0,0.0
