listing_id,listing_name,latitude,longitude,host_name,superhost,room_type,bedrooms,beds,baths,guests,currency,num_reviews,rating_overall,ciudad
307852,"Vacations in La Serena, Chile!",-29.9229,-71.2767,Yanitza,1,entire_home,2.0,3.0,2.0,4.0,CLP,87.0,4.76,la_serena
2505454,Apt with beautiful ocean views,-29.92,-71.2775,Jaime,0,entire_home,1.0,3.0,1.0,4.0,CLP,115.0,4.43,la_serena
2752550,Apartment on Avda del Mar de La Serena,-29.9242,-71.2776,Francisco Javier,0,entire_home,2.0,3.0,1.0,5.0,CLP,1.0,,la_serena
3550366,"Avenida del Mar, 2 to 3 people / Wi-Fi and parking",-29.9401,-71.2863,Valeria Andrea,1,entire_home,1.0,1.0,1.0,3.0,CLP,296.0,4.86,la_serena
4163327,Full Serena Apartments.,-29.9006,-71.2642,José Ignacio,1,entire_home,1.0,2.0,1.0,3.0,CLP,270.0,4.89,la_serena
6156447,La Serena Home,-29.9143,-71.2749,Ana Gloria,0,entire_home,2.0,3.0,1.5,5.0,CLP,11.0,4.73,la_serena
6367342,Beautiful apartment. Laguna del Mar,-29.9027,-71.2749,Alberto,0,entire_home,2.0,3.0,2.0,4.0,CLP,69.0,4.91,la_serena
6602822,Apartment 6pax w/ WiFi 1 block from Av del Mar,-29.938,-71.2835,Valeria Andrea,0,entire_home,3.0,3.0,2.0,6.0,CLP,2.0,,la_serena
6837080,Apt 5 people WiFi La Serena beach!,-29.9265,-71.2773,Yanitza,1,entire_home,2.0,4.0,1.0,5.0,CLP,22.0,4.68,la_serena
8224919,It's a new Boutique style apartment.,-29.9245,-71.2774,Sergio Ocares,0,entire_home,1.0,,3.0,4.0,CLP,78.0,4.87,la_serena
8983039,Costanera del Mar - La Serena Apartment,-29.9125,-71.2739,Eduardo,0,entire_home,2.0,2.0,1.0,4.0,CLP,19.0,4.89,la_serena
9594867,Apartment in Laguna del Mar,-29.8982,-71.2674,Alejandra,1,entire_home,1.0,1.0,1.0,4.0,CLP,159.0,4.75,la_serena
9632607,"Apartment near Av del Mar, La Serena",-29.9063,-71.2646,Victor,0,entire_home,3.0,4.0,1.0,5.0,CLP,23.0,4.7,la_serena
9944591,Excellent apartment with Playa en Edif. Oceanic,-29.9248,-71.2785,Cristian,0,entire_home,2.0,4.0,2.0,5.0,CLP,12.0,4.08,la_serena
10271346,Excellent location near downtown and the beach.,-29.8996,-71.2608,Victor,0,entire_home,1.0,1.0,1.0,3.0,CLP,105.0,4.71,la_serena
10366986,Beautiful and quiet: Laguna del Mar,-29.8998,-71.273,Leonardo,1,entire_home,1.0,2.0,1.0,3.0,CLP,146.0,4.75,la_serena
10400866,Leiendo La Serena Avda del Mar,-29.9403,-71.2862,Petar,0,entire_home,2.0,4.0,2.0,6.0,CLP,4.0,5.0,la_serena
10432514,Nice apartment facing the Lighthouse,-29.905,-71.2735,Leonardo,1,entire_home,1.0,2.0,1.0,3.0,CLP,41.0,4.63,la_serena
10587117,Apartment facing the beach,-29.9294,-71.2798,Ivan Rodrigo,0,entire_home,3.0,5.0,2.0,6.0,CLP,25.0,4.92,la_serena
10942502,Apartment with a view of the LAGOON AND SEA,-29.9014,-71.272,Andrés,0,entire_home,1.0,1.0,1.0,4.0,CLP,126.0,4.69,la_serena
11006744,Oceanic Building- Oceanfront View,-29.9199,-71.2751,Eduardo Arturo,1,entire_home,2.0,4.0,2.0,5.0,CLP,37.0,4.84,la_serena
11206029,San Joaquín Terraces Apartment,-29.9222,-71.2435,Charles,0,entire_home,3.0,5.0,2.0,6.0,CLP,14.0,4.86,la_serena
11433075,"A well-deserved rest in Laguna del Mar, La Serena",-29.8991,-71.2723,Sergio,0,entire_home,2.0,4.0,2.0,5.0,CLP,132.0,4.65,la_serena
11472950,Rest and relaxation at Laguna del Mar Urban Resort,-29.8992,-71.2677,Jorge,1,entire_home,1.0,2.0,1.0,3.0,CLP,106.0,4.83,la_serena
11488546,Beautiful View on the 1st Line [Remodeled],-29.9126,-71.2748,Gonzalo,1,entire_home,2.0,3.0,1.0,4.0,CLP,30.0,4.77,la_serena
11549383,Oceanfront · Fast Wi-Fi · Ideal for long stays,-29.9239,-71.2765,Luis,1,entire_home,2.0,4.0,2.0,5.0,CLP,78.0,4.9,la_serena
11782760,"depto ,a block from the beach ,",-29.9332,-71.2799,Miriam,0,entire_home,2.0,4.0,2.0,4.0,CLP,44.0,4.75,la_serena
11889774,Excelent Aparment  quality and great View.,-29.9247,-71.2785,Cristian,1,entire_home,2.0,4.0,2.0,4.0,CLP,102.0,4.94,la_serena
11943609,Private room in suite,-29.9242,-71.2487,Gonzalo,0,private_room,1.0,2.0,1.0,3.0,CLP,82.0,4.93,la_serena
12006184,The Best of the best,-29.9372,-71.2822,José Ignacio,1,entire_home,2.0,3.0,2.0,4.0,CLP,94.0,4.9,la_serena
12134726,"Apartment steps away from the beach, La Serena",-29.9477,-71.2874,Alejandra,1,entire_home,2.0,3.0,1.0,4.0,CLP,102.0,4.63,la_serena
12248411,Beautiful ocean and lagoon views,-29.9008,-71.2704,Sophia,0,entire_home,1.0,,1.5,4.0,CLP,16.0,4.88,la_serena
12289792,"ReservaYa.LaSerena/Cerca of everything!, Serena City and +",-29.8931,-71.2492,Edu,1,entire_home,3.0,10.0,1.0,12.0,CLP,95.0,4.84,la_serena
